%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1635234553457825635,552,1635234553457478462,pacmod,0,0,0,0,0,0,0,-0.113,0.0,-0.113
1635234553491861838,553,1635234553490974242,pacmod,0,0,0,0,0,0,0,-0.113,0.0,-0.113
1635234553525226892,554,1635234553524715012,pacmod,0,0,0,0,0,0,0,-0.113,0.0,-0.113
1635234553558370364,555,1635234553558028792,pacmod,0,0,0,0,0,0,0,-0.112,0.0,-0.112
1635234553591623819,556,1635234553591164907,pacmod,0,0,0,0,0,0,0,-0.106,0.0,-0.106
1635234553625694367,557,1635234553625256935,pacmod,0,0,0,0,0,0,0,-0.098,0.0,-0.098
1635234553659885963,558,1635234553659587744,pacmod,0,0,0,0,0,0,0,-0.093,0.0,-0.093
1635234553692402573,559,1635234553692097604,pacmod,0,0,0,0,0,0,0,-0.084,0.0,-0.084
1635234553727069652,560,1635234553726733647,pacmod,0,0,0,0,0,0,0,-0.08,0.0,-0.08
1635234553759295819,561,1635234553758934787,pacmod,0,0,0,0,0,0,0,-0.08,0.0,-0.08
1635234553792545515,562,1635234553792226334,pacmod,0,0,0,0,0,0,0,-0.073,0.0,-0.073
1635234553826287894,563,1635234553826021487,pacmod,0,0,0,0,0,0,0,-0.058,0.0,-0.058
1635234553859886208,564,1635234553859553345,pacmod,0,0,0,0,0,0,0,-0.044,0.0,-0.044
1635234553893151794,565,1635234553892779256,pacmod,0,0,0,0,0,0,0,-0.033,0.0,-0.033
1635234553926825186,566,1635234553926454195,pacmod,0,0,0,0,0,0,0,-0.03,0.0,-0.03
1635234553961332382,567,1635234553961025253,pacmod,0,0,0,0,0,0,0,-0.023,0.0,-0.023
1635234553993397193,568,1635234553992975379,pacmod,0,0,0,0,0,0,0,-0.023,0.0,-0.023
1635234554028457168,569,1635234554028148211,pacmod,0,0,0,0,0,0,0,-0.023,0.0,-0.023
1635234554060652785,570,1635234554060402694,pacmod,0,0,0,0,0,0,0,-0.023,0.0,-0.023
1635234554094353031,571,1635234554094062640,pacmod,0,0,0,0,0,0,0,-0.023,0.0,-0.023
1635234554128863090,572,1635234554128543613,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554162138394,573,1635234554161827780,pacmod,0,0,0,0,0,0,0,-0.023,0.0,-0.023
1635234554194675864,574,1635234554194332472,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554229372670,575,1635234554229031007,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554262741005,576,1635234554262335219,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554295250153,577,1635234554294885991,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554329981939,578,1635234554329666539,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554362132768,579,1635234554361804518,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554395710589,580,1635234554395394232,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554429803725,581,1635234554429464033,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554462900047,582,1635234554462513600,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554496251246,583,1635234554495909569,pacmod,0,0,0,0,0,0,0,-0.021,0.0,-0.021
1635234554531292064,584,1635234554530599637,pacmod,0,0,0,0,0,0,0,-0.019,0.0,-0.019
1635234554564823100,585,1635234554564014946,pacmod,0,0,0,0,0,0,0,-0.019,0.0,-0.019
1635234554596390060,586,1635234554596120732,pacmod,0,0,0,0,0,0,0,-0.019,0.0,-0.019
1635234554631149050,587,1635234554630893109,pacmod,0,0,0,0,0,0,0,-0.021,0.0,-0.021
1635234554664349643,588,1635234554664062357,pacmod,0,0,0,0,0,0,0,-0.023,0.0,-0.023
1635234554696753085,589,1635234554696430762,pacmod,0,0,0,0,0,0,0,-0.028,0.0,-0.028
1635234554731950198,590,1635234554731677572,pacmod,0,0,0,0,0,0,0,-0.031,0.0,-0.031
1635234554764850532,591,1635234554764605592,pacmod,0,0,0,0,0,0,0,-0.035,0.0,-0.035
1635234554799009849,592,1635234554796947775,pacmod,0,0,0,0,0,0,0,-0.033,0.0,-0.033
1635234554831278999,593,1635234554830917017,pacmod,0,0,0,0,0,0,0,-0.03,0.0,-0.03
1635234554865893605,594,1635234554865511416,pacmod,0,0,0,0,0,0,0,-0.024,0.0,-0.024
1635234554907968048,595,1635234554897711398,pacmod,0,0,0,0,0,0,0,-0.019,0.0,-0.019
1635234554932877397,596,1635234554932419782,pacmod,0,0,0,0,0,0,0,-0.009,0.0,-0.009
1635234554966212661,597,1635234554965756515,pacmod,0,0,0,0,0,0,0,0.011,0.0,0.011
1635234554998334293,598,1635234554997956292,pacmod,0,0,0,0,0,0,0,0.036,0.0,0.036
1635234555033413130,599,1635234555033084698,pacmod,0,0,0,0,0,0,0,0.062,0.0,0.062
1635234555066553888,600,1635234555066230899,pacmod,0,0,0,0,0,0,0,0.079,0.0,0.079
1635234555099002845,601,1635234555098512659,pacmod,0,0,0,0,0,0,0,0.102,0.0,0.102
1635234555133682256,602,1635234555133313821,pacmod,0,0,0,0,0,0,0,0.116,0.0,0.116
1635234555167000692,603,1635234555166591985,pacmod,0,0,0,0,0,0,0,0.126,0.0,0.126
1635234555199249437,604,1635234555198797093,pacmod,0,0,0,0,0,0,0,0.128,0.0,0.128
1635234555234299167,605,1635234555233914315,pacmod,0,0,0,0,0,0,0,0.132,0.0,0.132
1635234555267919455,606,1635234555267487205,pacmod,0,0,0,0,0,0,0,0.142,0.0,0.142
1635234555299850705,607,1635234555299395591,pacmod,0,0,0,0,0,0,0,0.154,0.0,0.154
1635234555333632990,608,1635234555333319369,pacmod,0,0,0,0,0,0,0,0.16,0.0,0.16
1635234555367120317,609,1635234555366726207,pacmod,0,0,0,0,0,0,0,0.168,0.0,0.168
1635234555400397890,610,1635234555399828872,pacmod,0,0,0,0,0,0,0,0.18,0.0,0.18
1635234555434549315,611,1635234555434161012,pacmod,0,0,0,0,0,0,0,0.198,0.0,0.198
1635234555467794811,612,1635234555467443538,pacmod,0,0,0,0,0,0,0,0.212,0.0,0.212
1635234555501185898,613,1635234555500832660,pacmod,0,0,0,0,0,0,0,0.226,0.0,0.226
1635234555535952610,614,1635234555535602629,pacmod,0,0,0,0,0,0,0,0.224,0.0,0.224
1635234555569127214,615,1635234555568826189,pacmod,0,0,0,0,0,0,0,0.221,0.0,0.221
1635234555601462988,616,1635234555601080820,pacmod,0,0,0,0,0,0,0,0.217,0.0,0.217
1635234555635703532,617,1635234555635253612,pacmod,0,0,0,0,0,0,0,0.212,0.0,0.212
1635234555669826919,618,1635234555669447293,pacmod,0,0,0,0,0,0,0,0.208,0.0,0.208
1635234555713824750,619,1635234555701705521,pacmod,0,0,0,0,0,0,0,0.208,0.0,0.208
