%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1635234552688811911,529,1635234552688528180,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552723563856,530,1635234552723304897,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552756697788,531,1635234552756476840,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552789019529,532,1635234552788817375,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552823191363,533,1635234552822587296,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552856287748,534,1635234552856089074,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552889813888,535,1635234552889416935,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552924493939,536,1635234552924311440,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552957945847,537,1635234552957659999,pacmod,0,0,0,0,0,0,0,1,1,1
1635234552990454823,538,1635234552989933138,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553024206059,539,1635234553023955723,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553058154312,540,1635234553057898900,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553090728880,541,1635234553090213331,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553125649692,542,1635234553125264918,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553157559925,543,1635234553157371143,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553191007344,544,1635234553190716522,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553225928519,545,1635234553225704582,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553259173187,546,1635234553258907678,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553291434739,547,1635234553291204041,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553326106768,548,1635234553325918002,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553359477938,549,1635234553359218402,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553391984736,550,1635234553391733162,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553426713067,551,1635234553426471322,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553458670160,552,1635234553458476788,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553492264176,553,1635234553492029726,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553526136958,554,1635234553525723416,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553559560605,555,1635234553559267981,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553592581995,556,1635234553592402931,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553626643920,557,1635234553626439905,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553661014756,558,1635234553660764673,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553693188665,559,1635234553692996980,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553727936223,560,1635234553727756955,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553760181600,561,1635234553760008866,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553793537286,562,1635234553793287695,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553827452228,563,1635234553827241915,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553860679494,564,1635234553860449332,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553893985121,565,1635234553893818165,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553927775897,566,1635234553927559049,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553962222067,567,1635234553961981047,pacmod,0,0,0,0,0,0,0,1,1,1
1635234553994438737,568,1635234553994252645,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554029314383,569,1635234554029087635,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554061545284,570,1635234554061355823,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554095424204,571,1635234554095193161,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554129741451,572,1635234554129544982,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554163390002,573,1635234554163081505,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554195735789,574,1635234554195346356,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554230216945,575,1635234554230028433,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554263788313,576,1635234554263550171,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554296236833,577,1635234554295844720,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554330745178,578,1635234554330573464,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554363541442,579,1635234554363034996,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554396699837,580,1635234554396453519,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554430606559,581,1635234554430352016,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554463637529,582,1635234554463356216,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554497089278,583,1635234554496869282,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554531799441,584,1635234554531623092,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554565204159,585,1635234554564976481,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554597294245,586,1635234554597129439,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554632148929,587,1635234554631987809,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554665610577,588,1635234554665388733,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554697726463,589,1635234554697424076,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554733057243,590,1635234554732807127,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554766125786,591,1635234554765929947,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554810329799,592,1635234554806215636,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554832200045,593,1635234554832007514,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554866535241,594,1635234554866381345,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554908213680,595,1635234554898507587,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554933790444,596,1635234554933568675,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554966902898,597,1635234554966698223,pacmod,0,0,0,0,0,0,0,1,1,1
1635234554999391787,598,1635234554999091922,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555034222680,599,1635234555034009197,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555067457292,600,1635234555067248388,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555099702201,601,1635234555099481012,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555134791665,602,1635234555134543376,pacmod,0,0,0,0,0,0,0,1,1,1
