%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vehicle_speed,field.vehicle_speed_valid
1635234558049985308,689,1635234558049762282,pacmod,6.71,1
1635234558084483751,690,1635234558084250768,pacmod,6.71,1
1635234558117944900,691,1635234558116785166,pacmod,6.75,1
1635234558151929501,692,1635234558151575891,pacmod,6.71,1
1635234558184979253,693,1635234558184647956,pacmod,6.75,1
1635234558219792506,694,1635234558217414851,pacmod,6.68,1
1635234558252347788,695,1635234558252041166,pacmod,6.75,1
1635234558285414065,696,1635234558285119303,pacmod,6.73,1
1635234558318054311,697,1635234558317807619,pacmod,6.75,1
1635234558352394198,698,1635234558352112671,pacmod,6.8,1
1635234558384792108,699,1635234558384561989,pacmod,6.75,1
1635234558418629033,700,1635234558418344944,pacmod,6.75,1
1635234558452940250,701,1635234558452681735,pacmod,6.82,1
1635234558486157503,702,1635234558485888411,pacmod,6.8,1
1635234558519191841,703,1635234558518916876,pacmod,6.81,1
1635234558553514313,704,1635234558553225641,pacmod,6.81,1
1635234558587061028,705,1635234558586671436,pacmod,6.81,1
1635234558619835203,706,1635234558619480289,pacmod,6.8,1
1635234558652644044,707,1635234558652395031,pacmod,6.83,1
1635234558687304986,708,1635234558686975170,pacmod,6.81,1
1635234558719950087,709,1635234558719686437,pacmod,6.81,1
1635234558754508351,710,1635234558754245904,pacmod,6.8,1
1635234558787791997,711,1635234558787526643,pacmod,6.82,1
1635234558820576068,712,1635234558820238928,pacmod,6.82,1
1635234558855039139,713,1635234558854747493,pacmod,6.82,1
1635234558888340722,714,1635234558888024963,pacmod,6.84,1
1635234558920990275,715,1635234558920683972,pacmod,6.86,1
1635234558954479418,716,1635234558954196108,pacmod,6.83,1
1635234558987922658,717,1635234558987541053,pacmod,6.87,1
1635234559021541357,718,1635234559021189768,pacmod,6.89,1
1635234559056115499,719,1635234559055816517,pacmod,6.88,1
1635234559089678068,720,1635234559089128880,pacmod,6.93,1
1635234559122007285,721,1635234559121772433,pacmod,6.91,1
1635234559156261604,722,1635234559155991600,pacmod,6.92,1
1635234559190017507,723,1635234559189289049,pacmod,6.9,1
1635234559222739743,724,1635234559222184624,pacmod,6.93,1
1635234559255964040,725,1635234559255547444,pacmod,6.9,1
1635234559290213631,726,1635234559289860443,pacmod,6.95,1
1635234559323385718,727,1635234559323069310,pacmod,6.91,1
1635234559356344691,728,1635234559356107029,pacmod,6.92,1
1635234559390556336,729,1635234559390319875,pacmod,6.94,1
1635234559424503002,730,1635234559423119952,pacmod,6.97,1
1635234559457600130,731,1635234559457275766,pacmod,6.93,1
1635234559490954035,732,1635234559490675539,pacmod,6.9,1
1635234559524321196,733,1635234559523628781,pacmod,6.97,1
1635234559557157365,734,1635234559556850233,pacmod,6.95,1
1635234559590942293,735,1635234559590075836,pacmod,7.01,1
1635234559624306469,736,1635234559624089232,pacmod,7.01,1
1635234559657886778,737,1635234559657621526,pacmod,7.02,1
1635234559691886270,738,1635234559691601788,pacmod,7.1,1
1635234559724556174,739,1635234559724308422,pacmod,7.03,1
1635234559759117634,740,1635234559758843345,pacmod,7.08,1
1635234559792501912,741,1635234559792194767,pacmod,7.1,1
1635234559825670944,742,1635234559824927624,pacmod,7.11,1
1635234559859463012,743,1635234559859180942,pacmod,7.06,1
1635234559892969200,744,1635234559892634814,pacmod,7.07,1
1635234559927316789,745,1635234559925732734,pacmod,7.09,1
1635234559960145408,746,1635234559959817886,pacmod,7.1,1
