%time,field.data
1635234558879133915,0
1635234558911007642,0
1635234558944359971,0
1635234558977697079,0
1635234559012051135,0
1635234559045758348,0
1635234559079213224,0
1635234559112164387,0
1635234559146469641,0
1635234559179784551,0
1635234559212391671,0
1635234559245885426,0
1635234559280336420,0
1635234559312993820,0
1635234559346205897,0
1635234559380522876,0
1635234559413609403,0
1635234559447767676,0
1635234559481284789,0
1635234559513809485,0
1635234559547369384,0
1635234559580490446,0
1635234559614643345,0
1635234559647955041,0
1635234559682139130,0
1635234559714845368,0
1635234559749458704,0
1635234559782969037,0
1635234559819628375,0
1635234559849671702,0
1635234559883360924,0
1635234559915816417,0
1635234559950371374,0
1635234559983490220,0
1635234560016112058,0
1635234560050542298,0
1635234560083827207,0
1635234560119008312,0
1635234560151204458,0
1635234560184416218,0
1635234560216844571,0
1635234560251218368,0
1635234560285096658,0
1635234560317163840,0
1635234560351599248,0
1635234560383747240,0
1635234560417558475,0
1635234560451595288,0
1635234560485154984,0
1635234560517860236,0
1635234560552470116,0
1635234560588127110,0
1635234560618453241,0
1635234560652696782,0
1635234560686111256,0
1635234560726418637,0
1635234560752434235,0
1635234560785528573,0
1635234560819769443,0
1635234560853382797,0
1635234560887023994,0
1635234560919790412,0
1635234560954237108,0
1635234560987780344,0
1635234561021026744,0
1635234561054428993,0
1635234561087984846,0
1635234561120742210,0
1635234561154059241,0
1635234561188298326,0
1635234561221112288,0
1635234561255529433,0
1635234561288096048,0
1635234561321576479,0
1635234561355793074,0
1635234561389055805,0
1635234561421905554,0
1635234561456263334,0
1635234561488811570,0
1635234561522218823,0
1635234561555638068,0
1635234561590550254,0
1635234561622913987,0
1635234561656982530,0
1635234561690202237,0
1635234561723978476,0
1635234561757458379,0
1635234561790676505,0
1635234561823566064,0
1635234561856976753,0
1635234561890370425,0
1635234561924232848,0
1635234561957419151,0
1635234561991786009,0
1635234562024592101,0
1635234562058932308,0
1635234562091332256,0
1635234562124760963,0
1635234562158061730,0
1635234562191379425,0
1635234562225091200,0
1635234562258586203,0
1635234562292021072,0
1635234562325875016,0
1635234562359141152,0
1635234562392747893,0
1635234562426226402,0
1635234562460545531,0
1635234562492881095,0
1635234562526806092,0
1635234562560270689,0
1635234562593375606,0
1635234562627170369,0
1635234562660703203,0
1635234562694997259,0
1635234562727727584,0
1635234562760991972,0
1635234562795326138,0
1635234562828035362,0
1635234562862730891,0
1635234562894948830,0
1635234562928374759,0
1635234562963241566,0
1635234562995890251,0
1635234563029071246,0
1635234563062514625,0
1635234563097841151,0
1635234563129473399,0
1635234563163806161,0
1635234563196848493,0
1635234563229692876,0
1635234563264201670,0
1635234563297409323,0
1635234563330140041,0
1635234563364419562,0
1635234563400805025,0
1635234563430837125,0
1635234563465063508,0
1635234563498306503,0
1635234563531358835,0
1635234563565490516,0
1635234563598976883,0
1635234563631642039,0
1635234563665794085,0
1635234563699294550,0
1635234563731839787,0
1635234563765965700,0
1635234563799561187,0
1635234563832702418,0
1635234563866744751,0
1635234563900078079,0
1635234563932892366,0
1635234563965970854,0
1635234564000834441,0
1635234564033243618,0
1635234564066835210,0
1635234564101575312,0
1635234564133787670,0
1635234564167972122,0
1635234564200271220,0
1635234564234169622,0
1635234564267517165,0
1635234564301932244,0
1635234564334672508,0
1635234564369067925,0
1635234564407291165,0
1635234564434799060,0
1635234564469355114,0
1635234564502684407,0
1635234564535355911,0
1635234564568866840,0
1635234564603239371,0
1635234564635943638,0
1635234564670098168,0
1635234564703118624,0
1635234564736441865,0
1635234564769762481,0
1635234564804111621,0
1635234564836802056,0
1635234564870283213,0
1635234564906000343,0
1635234564937292298,0
1635234564971860879,0
1635234565005284992,0
1635234565037661400,0
1635234565070936596,0
1635234565115421134,0
1635234565138176565,0
1635234565171934027,0
1635234565207409097,0
1635234565238612923,0
1635234565272716185,0
1635234565309324799,0
1635234565338682809,0
1635234565373262573,0
1635234565406257953,0
1635234565439292333,0
1635234565473502306,0
1635234565507054563,0
1635234565539965826,0
1635234565573379294,0
1635234565611685486,0
1635234565640198203,0
1635234565673484046,0
1635234565707730783,0
1635234565740925826,0
1635234565774516019,0
1635234565808849068,0
1635234565841264229,0
1635234565874600692,0
1635234565908510875,0
1635234565941663965,0
1635234565975147054,0
